Taxon,Author,Common Name,Kingdom,Phylum,Sub-phylum,Super-class,Class,Subclass,Super-order,Order,Sub-order,Super-family,Family,Subfamily,Origin,Status,Reporting,Documented in iNaturalist,Last Collected/Reported (y-m-d),Collector/Source,Collection/List,Catalogue Number,LGL,First Documented,Documenter,iNaturalist Link,Notes,iNaturalist Taxon ID,Stats Code
Ophrydium versatile,Müller,a colonial microscopic single-celled protozoan,Chromista,Ciliophora,Intramacronucleata,,Oligohymenophorea,Peritrichia,,Sessilida,,,Ophrydiidae,,,genus not in CDC records,new 2020,documented,,,,,,44078,judithofsquamish,https://www.inaturalist.org/observations/71512859,,364055
Prasiola meridionalis,Setchell & N.L.Gardner,none,Plantae,Chlorophyta,,,Trebouxiophyceae,,,Prasiolales,,,Prasiolaceae,,,not in CDC records,confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",43622,bclarkston,https://www.inaturalist.org/observations/27915824, ,429864
Urospora penicilliformis,(Roth) Areschoug,none,Plantae,Chlorophyta,,,Ulvophyceae,,,Codiolales,,,Acrosiphoniaceae,,,not in CDC records,reported,undocumented,37819,Donna Gibbs,Howe Sound Marine Data,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,, ,339001
Acrosiphonia coalita,(Ruprecht) Scagel & al. ,green rope,Plantae,Chlorophyta,,,Ulvophyceae,,,Ulotrichales,,,Ulotrichaceae,,,not  in CDC records,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,, ,429957
Blidingia subsalsa,(Kjellman) Kornmann & Sahling ex Scagel et al.,none,Plantae,Chlorophyta,,,Ulvophyceae,,,Ulvales,,,Ulvaceae,,,not in CDC records,new 2019,documented,,,,,,43622,bclarkston,https://www.inaturalist.org/observations/27915795,,904562
Ulva fenestrata,Postels & Ruprecht,none,Plantae,Chlorophyta,,,Ulvophyceae,,,Ulvales,,,Ulvaceae,,,not in CDC records,confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",43647,bclarkston,https://www.inaturalist.org/observations/28020574, ,152972
Ulva intestinalis,L.,gutweed,Plantae,Chlorophyta,,,Ulvophyceae,,,Ulvales,,,Ulvaceae,,,not in CDC records,confirmed,documented,37819,Donna Gibbs,Howe Sound Marine Data,,"LGL Limited, Environmental Research Associates, Sidney, BC",42942,caitlinforeman,https://www.inaturalist.org/observations/7298485, ,130197
Ulva lactuca,L.,broadleaf sea lettuce,Plantae,Chlorophyta,,,Ulvophyceae,,,Ulvales,,,Ulvaceae,,,not in CDC records,confirmed,documented,41024,Donna Gibbs,Howe Sound Marine Data,,"LGL Limited, Environmental Research Associates, Sidney, BC",43366,benkeen,https://www.inaturalist.org/observations/16844439, ,67423
Anastrophyllum assimile ,(Mitt.) Steph.,similar notchwort,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales, ,,Jungermanniaceae,,native,S4 (2015) ,reported,undocumented,30950,W. B. Schofield ,UBC  ,UBC 1379052 ,"LGL Limited, Environmental Research Associates, Sidney, BC", , , ,,71113
Anastrophyllum minutum ,(Schreb.) Schust. ,comb notchwort,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,Jungermanniaceae,,native,S5 (2015),reported,undocumented,29363,Joop van Velzen ,UBC  ,UBC 1459388 .,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,56467
Anthelia julacea ,(L.) Dum.,alpine silverwort,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,Antheliaceae,,native,SNR,reported,undocumented,37171,W. B. Schofield ,UBC  ,UBC 1317609 .,,,,,,158423
Anthelia juratzkana,(Limpr.) Trev.,juratzka's silverwort,Plantae,Marchantiophyta,,,Jungermanniopsida,, ,Jungermanniales,,,Antheliaceae,,native,S5 (2015),reported,undocumented,29451,Joop van Velzen ,UBC  ,UBC 1436902 ,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,56470
Barbilophozia barbata ,(Schmid. ex Schreb.) Loeske,bearded pawwort,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,Anastrophyllaceae,,native,S5 (2015),reported ,undocumented,28214,W. B. Schofield ,UBC  ,UBC 1400377 .,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,159158
Barbilophozia hatcheri ,(Evans) Loeske,hatcher's pawwort,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,Anastrophyllaceae,,native,S5 (2015),reported ,undocumented,37791,W. B. Schofield ,UBC  ,UBC 1313507 .,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,56473
Barbilophozia lycopodioides ,(Wallr.) Loeske,greater pawwort,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,Anastrophyllaceae,,native,S5 (2015),reported,undocumented,29452,J. van Velzen ,UBC  ,UBC 1424041 .,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,159164
Barbilophozia sudetica,"(Nees ex Huebener) L. Soderstr., De Roo & Hedd.",hill notchwort,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,Anastrophyllaceae,,native,S4 (2015),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,historical record Lophozia sudetica ,988212
Bazzania ambigua,(Lindenb.) Treb.,bazzania liverwort,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,Lepidoziaceae,,native,S2S4,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,, ,159200
Bazzania denudata,(Torr. ex Gott. et al.) Trev.,bazzania liverwort,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,Lepidoziaceae,,native,S4 (2015),reported,undocumented,38462,W. B. Schofield ,UBC  ,UBC 1310858 ,"LGL Limited, Environmental Research Associates, Sidney, BC",,,, ,56476
Bazzania tricrenata,(Wahlenb.) Lindb.,lesser whipwort,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,Lepidoziaceae,,native,S4S5 (2015),reported,undocumented,36110,W. B. Schofield ,UBC,UBC 1333072 .,"LGL Limited, Environmental Research Associates, Sidney, BC",,,, ,159203
Blepharostoma trichophyllum ,(L.) Dum.,hairy threadwort,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,Pseudolepicoleaceae,,native,SNR,reported,undocumented,35965,W. B. Schofield ,UBC  ,UBC 1339036 ,"LGL Limited, Environmental Research Associates, Sidney, BC",,,, ,56479
Calypogeia azurea,Stotler & Crotz,blue pouchwort,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,Calypogeiaceae,,native,S3S4 (2015),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,, ,56482
Calypogeia fissa,(L.) Raddi,common pouchwort,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,Calypogeiaceae,,,genus is in CDC records,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,, ,56485
Calypogeia integristipula,Stephani ,meylan's pouchwort,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,Calypogeiaceae,,native,S3 (2015),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,, ,56486
Calypogeia muelleriana,(Schiffn.) Müll.Frib.,mueller's pouchwort,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,Calypogeiaceae,,native,SNR,confirmed,documented,29327,W. B. Schofield ,UBC  ,UBC 1423539 ,,42922,elsemikkelsen,https://www.inaturalist.org/observations/7448197,iNat: needs i.d.,56487
Calypogeia suecica,(Arnell & J. Perss.) K. Müller,swedish pouchwort,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,Calypogeiaceae,,native,SH (2015),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,, ,159719
Cephalozia bicuspidata,(L.) Dum.,two-horned pincerwort,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,Cephaloziaceae,,native,SNR,reported,undocumented,37033,W. B. Schofield ,UBC  ,UBC 1320201 ,,,,,,56489
Cephalozia bicuspidata ambigua,(L.) Dum.,snow pincerwort,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,Cephaloziaceae,,native,SNR,reported,undocumented,29452,Joop van Velzen,UBC  ,UBC 1424063 .,,,,,,234980
Cephalozia connivens ,(Dicks.) Lindb.,forcipated pincerwort,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,Cephaloziaceae,,native,S2 (2015),reported,undocumented,35965,W. B. Schofield ,UBC  ,UBC 1339034 ,"LGL Limited, Environmental Research Associates, Sidney, BC",,,, ,56487
Cephalozia lunulifolia,(Dum.) Dum.,moon-leaved pincerwort,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,Cephaloziaceae,,native,S3S4 (2015) ,reported,undocumented,38462,W. B. Schofield ,UBC  ,UBC 1310869 .,"LGL Limited, Environmental Research Associates, Sidney, BC",,,, ,56493
Cephaloziella divaricata ,(Sm.) Schiffn.,spreading threadwort,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,Cephaloziaceae,,native,SNR,reported,undocumented,38766,W. B. Schofield ,UBC  ,UBC 1308916 ,,,,,,56495
Cephaloziella divaricata scabra ,(Sm.) Schiffn.,spreading threadwort,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,Cephaloziaceae,,native,SNR,reported,undocumented,29377,Joop van Velzen,UBC  ,UBC 1459239 ,,,,,,239904
Cephaloziella phyllacantha ,(C. Massal. & Carestia) K. Müll.,none,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,Cephaloziaceae,,native,S2S3 (2015),reported,undocumented,29377,Joop van Velzen,UBC  ,UBC 1459212 ,"LGL Limited, Environmental Research Associates, Sidney, BC",,,, ,160324
Cephaloziella turneri ,(Hook.) K. Müll.,turner's threadwort,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,Cephaloziaceae,,native,S3 (2015),reported,undocumented,29354,Joop van Velzen,UBC  ,UBC 1462927 .,"LGL Limited, Environmental Research Associates, Sidney, BC",,,, ,56502
Chandonanthus filiformis ,Steph.,none,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,Anastrophyllaceae,,native,S3 (2015),reported,undocumented,29374,Joop van Velzen,UBC  ,UBC 1459342 ,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,f. Tetralophozia filiformis (Steph.) Urmi,160452
Chandonanthus setiformis ,(Ehrh.) Lindb.,monster pawwort,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,Anastrophyllaceae,,native,SNR,reported,undocumented,28547,Terry Taylor,UBC  ,UBC 1373912 ,,,,,f. Tetralophozia setiformis (Steph.) Urmi,160454
Chiloscyphus pallescens,(Hoffm.) Dumort.,pale liverwort,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,Lophocoleaceae,,native,S5,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,, ,56503
Chiloscyphus polyanthos,(L.) Corda,square-leaved crestwort,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,Lophocoleaceae,,native,S4S5 (2015),confirmed,documented,29452,Joop van Velzen ,UBC  ,UBC 1423977 ,"LGL Limited, Environmental Research Associates, Sidney, BC",43619,judithofsquamish,https://www.inaturalist.org/observations/26422635, ,56506
Diplophyllum albicans ,(L.) Dum.,white earwort,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,Scapaniaceae,,native,SNR,reported,undocumented,37033,W. B. Schofield,UBC  ,UBC 1320227,,,,,,123963
Diplophyllum obtusifolium ,(Hook.) Dum.,blunt-leaved earwort,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,Scapaniaceae,,native,S4S5 (2015),reported,undocumented,29452,J. van Velzen ,UBC  ,UBC 1320219 ,,,,,,56507
Diplophyllum plicatum ,Lindb.,none,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,Scapaniaceae,,native,"in CDC as Douinia ovata, see 'notes'",reported,undocumented,22149,Peterson,UBC  ,UBC 1385827 ,,,,,"accepted by NatureServe, Consortium of NA Bryophyte Herbaria & I.T.I.S.",56510
Diplophyllum taxifolium,(Wahlenb.) Dumort.,yew-leaved earwort,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,Scapaniaceae,,native,not in CDC records ,confirmed,documented,37171,W. B. Schofield,NY,NY: 00882509,,44352,cgbc,https://www.inaturalist.org/observations/81816673,,56513
Douinia ovata,(Dicks.) Buch,waxy earwort,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,Scapaniaceae,,native,S5 (2015),reported,undocumented,35410,Terry Taylor,UBC  ,UBC 1339723 .,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,"Douinia plicata not recognized by NatureServe, iNaturalist or I.T.I.S., but both D. plicata & Diplophyllum ovatum are in Consortium of NA Bryophyte Herbaria",56515
Frullania bolanderi ,Aust.,hairy scalewort,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,Jubulaceae ,,native,SNR ,reported,undocumented,37033,W. B. Schofield,UBC  ,UBC 1357034 ,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,"UBC:  Frullaniaceae family and sp.with ""?""""",56518
Frullania californica,(Aust. ex Underw.) A. Evans ?,none,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,Jubulaceae,,native,S3 (2015) ,reported,undocumented,31655,W. B. Schofield,UBC  ,UBC 1369202 ,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,herbarium record Frullaniaceae family,56520
Frullania nisquallensis,(L.) Dumort.,none,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,Jubulaceae,,native,S5 (2015),reported,undocumented,42181,O.Lee; S.Joya,2015 Squamish Bioblitz part of Whistler BB (Bob Brett),,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,aka Frullania tamarisci var. nisquallensis ,123818
Frullania hattoriana ,J. & G. Godfrey ,none,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,Jubulaceae,,native,S3 (2015),reported,undocumented,37033,W. B. Schofield,UBC  ,UBC 1320186 ,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,herbarium record Frullaniaceae family,453081
Frullania tamarisci ,(L.) Dumort.,tamarisk scalewort,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,Jubulaceae,,native,see notes,reported,undocumented,29374,Joop van Velzen,UBC  ,UBC 1459332 ,,,,,herbarium record Frullaniaceae family,163110
Fuscocephaloziopsis affinis,(Lindb. ex Steph.) Vána & L. Söderstr.,kindred pincerwort,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,Cephaloziaceae,,,genus is in CDC records,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,historical record Cephalozia affinis ,1047921
Fuscocephaloziopsis monticola,(J.D. Godfrey) Vána & L. Söderstr.,none,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,Cephaloziaceae, ,native,S3S4 (2015),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,historical record Cephalozia monticola,0
Geocalyx graveolens ,(Schrad.) Nees,Turp's pouchwort,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,Geocalycaceae,,native,SNR,reported,undocumented,37033,W. B. Schofield,UBC  ,UBC 1320200,,,,,,163251
Gymnocolea inflata,(Huds.) Dum.,inflated notchwort,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,Anastrophyllaceae,,native,SNR,reported,undocumented,34966,W. B. Schofield,UBC  ,UBC 1343952 ,,,,,herbarium record Scapaniaceae family,163453
Gymnomitrion concinnatum,(Lightf.) Corda,braided frostwort,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,Gymnomitriaceae,,native,S5 (2015),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,, ,163455
Gymnomitrion obtusum ,(Lightf.) Corda,blunt frostwort,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,Gymnomitriaceae,,native,S4 (2015),reported,undocumented,42181,O.Lee; S.Joya,2015 Squamish Bioblitz part of Whistler BB (Bob Brett),,"LGL Limited, Environmental Research Associates, Sidney, BC",,,, ,163459
Gyrothyra underwoodiana ,M. Howe,none,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,Gyrothyraceae,,native,S4 (2015) ,reported,undocumented,37033,W. B. Schofield,UBC  ,UBC 1320173,"LGL Limited, Environmental Research Associates, Sidney, BC",,,, ,163479
Harpanthus flotovianus,(Nees) Nees,great mountain flapwort,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,Harpanthaceae,,native,S3S4,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,157442
Herbertus aduncus,(Dicks.) S. Gray ,bent scissor-leaved liverwort,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,Herbertaceae,,native,S4S5 (2015) ,reported,undocumented,39944,W. R. Buck ,NY,NY   731536 ,"LGL Limited, Environmental Research Associates, Sidney, BC",,,, ,163684
Hygrobiella laxifolia ,(Hook.) Spruce,lax notchwort,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,Cephaloziaceae,,native,S3S4 (2015),reported,undocumented,29803,W. B. Schofield,UBC  ,UBC 1454463 ,"LGL Limited, Environmental Research Associates, Sidney, BC",,,, ,163883
Jamesoniella autumnalis ,(Decandolle) Steph.,Jameson's liverwort,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,Jamesoniellaceae,,native,S5? (2015),reported,undocumented,37033,W. B. Schofield,UBC  ,UBC 1459328 ,,,,,,164223
Jungermannia atrovirens ,Dum.,dark-green flapwort,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,Jungermanniaceae,,native,S3 (2015)  ,reported,undocumented,29445,Joop van Velzen,UBC  ,UBC 1423173 ,,,,,,164293
Jungermannia confertissima ,Nees,none,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,Jungermanniaceae,,native,S1 (2015),reported,undocumented,29452,Joop van Velzen,UBC  ,UBC 1423983 ,,,,,,164296
Jungermannia exsertifolia cordifolia  ,Stephani ,cordate flapwort,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,Jungermanniaceae,,native,SNR see 'notes',reported,undocumented,37171,W. B. Schofield,UBC  ,UBC 1317607,,,,,historical record Jungermannia eucordifolia Schljakov ,236562
Jungermannia obovata ,Nees,egg flapwort,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,Jungermanniaceae,,native,S4 (2015) see 'notes' ,reported,undocumented,29803,W. B. Schofield,UBC  ,UBC 1319440,,,,,historical record Solenostoma obovatum (Nees) Mass.,164305
Jungermannia pumila ,With.,dwarf flapwort,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,Jungermanniaceae,,native,S3S4 ,reported,undocumented,29446,Joop van Velzen,UBC  ,UBC 1437038 ,,,,,,164307
Jungermannia rubra ,Gott. Ex Underw.,none,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,Jungermanniaceae,,native,S4 (2015) see 'notes' ,reported,undocumented,37033,W. B. Schofield,UBC  ,UBC 1320202,,,,,historical record:  Solenostoma rubrum (Gott. ex Underw.) Schust.,164309
Lepidozia reptans,(L.) Dum.,creeping fingerwort,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,Lepidoziaceae,,SNR,no status,confirmed,documented,37033,W. B. Schofield,UBC  ,UBC 1320239 ,,44352,cgbc,https://www.inaturalist.org/observations/81816673,,123769
Lophocolea bidentata,(L..) Dumort.,bifid crestwort,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,, Lophocoleaceae,,native,S3S4 (2015),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,, ,83960
Lophocolea minor,Nees,lesser crestwort,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,, Lophocoleaceae,, ,SNR,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,, ,164773
Lophozia sp.,(Dumort.) Dumort.,none,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,Lophoziaceae,, ,SNR,new 2019,documented,,,,,,43702,ldietzchiasson,https://www.inaturalist.org/observations/31994625,may be Lophozia obtusifolium ,85420
Lophozia ventricosa var. silvacola,(H.Buch) E.W. Jones,forest notchwort,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,Lophoziaceae,,native,S2S3,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,, ,241481
Marsupella apiculata,Schiffner,pointed frostwort,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,Gymnomitriaceae,,native,S2S3 (2015),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,, ,1049043
Marsupella aquatica,(Lindenb.) Schiffn. ,none,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,Gymnomitriaceae,,,genus is in CDC records,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,, ,1155356
Marsupella brevissima, (Dum.) Grolle,snow rustwort,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,Gymnomitriaceae,,native,S3S4 (2015),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,historical record Gymnomitrion brevissimum ,165169
Marsupella commutata,(Limpr.) Bernet,none,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,Gymnomitriaceae,,native,S3S4 (2015),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,historical record Gymnomitrion commutatum entered as iNaturalist taxonomy,165170
