Taxon,Author,Common Name,Kingdom,Phylum,Sub-phylum,Super-class,Class,Sub-class,Super-order,Order,Sub-order,Super-family,Family,Sub-family,Origin or Residency Status,Status (coloured if red or blue listed),Reporting,Documented in iNaturalist,Last Collected/Reported (y-m-d),Collector/Source,Collection/List,Catalogue Number,LGL,First Documented,Documenter,iNaturalist Link,Notes,iNaturalist Taxon ID,Stats Code,Latitude,Longditude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pentidotea wosnesenskii,Brandt,rockweed isopod,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Isopoda,Valvifera,,Idoteidae,,Exotic,genus not in CDC records,confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",2017-07-26,caitlinforeman,https://www.inaturalist.org/observations/7298487,original record Idotea wosnesenskii  updated to current iNaturalist name,126295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philoscia muscorum,Scopoli,common striped woodlouse,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Isopoda,Oniscidea,,Philosciidae,,Exotic,genus not in CDC records,new 2020,documented,,,,,,2020-12-26,benkeen,https://www.inaturalist.org/observations/67121592,,48292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porcellio scaber,Latreille,common rough woodlouse,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Isopoda,Oniscidea,,Porcellionidae,,Exotic,genus not in CDC records,new 2018,documented,,,,,,2018-09-08,benkeen,https://www.inaturalist.org/observations/16333600,,122238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocinela propodialis ,Richardson,pink parasitic isopod,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Isopoda,Cymothoida,Cymothooidea,Aegidae,,Exotic,genus not in CDC records,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,429509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mysidopsini,"Wittmann, Ariani & Lagardère",common gray mysid,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Mysida,,,Mysidae,,Exotic,,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,, ,1067606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Entomobrya katzi,Jordana & Baquero,a species of springtail,Animalia,Arthropoda,Hexapoda,,Entognatha,Collembola,,Entomobryomorpha,,Entomobryoidea,Entomobryidae,Entomobryinae,Exotic,9 spp of Entomobrya in CDC records but not this one,new 2018,documented,,,,,,4/26/2021,benkeen,https://www.inaturalist.org/observations/75387212,,1236975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Entomobrya nivalis,L.,Cosmopolitan springtail,Animalia,Arthropoda,Hexapoda,,Entognatha,Collembola,,Entomobryomorpha,,Entomobryoidea,Entomobryidae,Entomobryinae,Unrankable,SU (2019),new 2021,documented,,,,,,5/13/2021,benkeen,https://www.inaturalist.org/observations/78651990,iNat: needs i.d.,389008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Entomobrya triangularis,Schott,a species of springtail,Animalia,Arthropoda,Hexapoda,,Entognatha,Collembola,,Entomobryomorpha,,Entomobryoidea,Entomobryidae,Entomobryinae,Unrankable,SU (2019),new 2020,documented,,,,,,3/29/2020,elsemikkelsen,https://www.inaturalist.org/observations/41082253,,296704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orchesella cincta,L.,a species of springtail,Animalia,Arthropoda,Hexapoda,,Entognatha,Collembola,,Entomobryomorpha,,Entomobryoidea,Entomobryidae,Orchesellinae,Unrankable,SU (2019),new 2021,documented,,,,,,2/13/2021,benkeen,https://www.inaturalist.org/observations/69539538,,132308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orchesella villosa,L.,a species of springtail,Animalia,Arthropoda,Hexapoda,,Entognatha,Collembola,,Entomobryomorpha,,Entomobryoidea,Entomobryidae,Orchesellinae,Unrankable,SU (2019),new 2021,documented,,,,,,5/11/2021,benkeen,https://www.inaturalist.org/observations/78416113,,487130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomocerus sp.,Nicolet,a genus of springtails,Animalia,Arthropoda,Hexapoda,,Entognatha,Collembola,,Entomobryomorpha,,,Tomoceridae,Tomocerinae,Exotic,genus is in CDC records,new 2019,documented,,,,,,2019-05-29,elsemikkelsen,https://www.inaturalist.org/observations/32729226,,171556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hypogastrura nivicola,Fitch,Snowflea,Animalia,Arthropoda,Hexapoda,,Entognatha,Collembola,,Poduromorpha,,,Hypogastruridae,,Unrankable,SU (2019)  (13 spp Hypogastrura in CDC records),new 2019,documented,,,,,,12/25/2019,benkeen,https://www.inaturalist.org/observations/36946353,,125613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neanurinae,Börner,a subfamiy of short-legged springtails,Animalia,Arthropoda,Hexapoda,,Entognatha,Collembola,,Poduromorpha,,Neanuroidea,Neanuridae,Neanurinae,Exotic, ,new 2020,documented,,,,,,11/15/2020,benkeen,https://www.inaturalist.org/observations/64980530,,373493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ptenothrix maculosa,Schott,a species of springtail,Animalia,Arthropoda,Hexapoda,,Entognatha,Collembola,,Symphypleona,,Dicyrtomoidea,Dicyrtomidae,,Unrankable,SU (2019),new 2021,documented,,,,,,5/14/2021,benkeen,https://www.inaturalist.org/observations/78773533,iNat: needs i.d.,491087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedetontus submutans,Silvestri,none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Archaeognatha,,,Machilidae,Petrobiinae,Exotic,genus not in CDC records,new 2012,documented,,,,,,2012-06-02,judithofsquamish,https://www.inaturalist.org/observations/32711658,,517769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nyctibora sp.,Burmeister,none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Blattodea,,Blaberoidea,Ectobiidae,,Exotic,genus not in CDC records,reported,undocumented,1960-10-09,E. Adams,UBC,SEM-UBC DIC-0073,,,,,,132139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zootermopsis angusticollis,Hagen,Pacific dampwood termite,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Blattodea,,Blattoidea,Archotermopsidae,,Exotic,genus not in CDC records,new 2018,documented,,,,,,2018-09-08,benkeen,https://www.inaturalist.org/observations/16442109,,121383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acilius abbreviatus,Aubé,a sp of predaceous diving beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Dytiscoidea,Dytiscidae,Dytiscinae,not yet assessed,SNR,new 2019,documented,,,,,,6/16/2019,hydaticus,https://www.inaturalist.org/observations/27189015,,212321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agabus sp.,Leach,predatory aquatic beetles,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Dytiscoidea,Dytiscidae,,Exotic,genus is in CDC records (36 spp),reported,undocumented,1955-08-08,R. Stace-Smith,UBC,SEM-UBC COL-32514,,,,,,84734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bembidion sp.,Latreille,a genus of beetles,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,,Carabidae,Trechinae,Exotic,genus is in CDC records (100 spp),confirmed,documented,,,,,,2019-04-05,benkeen,https://www.inaturalist.org/observations/22064998,,130639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boreonectes griseostriatus,(DeGeer),none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Dytiscoidea,Dytiscidae,Hydroporinae,Exotic,"CDC was SNR, sp still valid but no longer in CDC records",reported,undocumented,1955-08-08,R. Stace-Smith,UBC,SEM-UBC COL-32731,,,,,,456162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carabus granulatus,L.,granulated ground beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Caraboidea,Carabidae,Carabinae,Exotic,SNA (2017),new 2020,documented,,,,,,2020-04-17,benkeen,https://www.inaturalist.org/observations/42455425,,216086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carabus nemoralis,O.F.Muller,bronze ground beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,,Carabidae,Carabinae,Native,SNA (2017),new 2018,documented,,,,,,2018-05-19,gwenlh,https://www.inaturalist.org/observations/12642466,,56552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cicindela depressula depressula,Casey,dispirited tiger beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,,Carabidae,"Cicindelinae
", ,SNR ,reported,undocumented,1924-12-15,not online,UBC,SEM-UBC COL-14476,,,,,,49703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cicindela oregona,LeConte,Western tiger beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Caraboidea,Carabidae,Cicindelinae,Native,S5 (2017),confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",2018-08-31,mgedmonds,https://www.inaturalist.org/observations/16150754,,52620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cicindela oregona oregona,LeConte,Oregon Tiger Beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Caraboidea,Carabidae,Cicindelinae,not yet assessed,SNR,new 2021,documented,,,,,,4/19/2021,cgbc,https://www.inaturalist.org/observations/74589444,,235184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cychrus tuberculatus,Harris,a sp of ground beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Caraboidea,Carabidae,Carabinae,Native,S3S4 (2017) ,new 2021,documented,,,,,,5/10/2021,jkaseman18,https://www.inaturalist.org/observations/78345801,,217958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dineutus assimilis,Kirby,a whirligig beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,,Gyrinidae,Gyrininae,Unrankable,SU (2017),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,218467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diplous aterrimus,Dejean,a sp of ground beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Caraboidea,Carabidae,Trechinae,Native,S5 (2017),new 2021,documented,,,,,,8/29/2021,chloe_and_trevor,https://www.inaturalist.org/observations/94382613,,218552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dytiscus sp.,L.,a genus of predaceous diving beetles,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Dytiscoidea,Dytiscidae,Dytiscinae,Exotic,genus is in CDC records,new 2018,documented,,,,,,2018-04-11,thuja,https://www.inaturalist.org/observations/10792258,,88070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Graphoderus liberus,Say,none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Dytiscoidea,Dytiscidae,Dytiscinae,not yet assessed,SNR,new 2019,documented,,,,,,2019-07-01,judithofsquamish,https://www.inaturalist.org/observations/28039587,,220657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gyrinus picipes,Aube,a whirligig beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,,Gyrinidae,Gyrininae,Native,S5 (2017); 17 spp of Gryrinus in CDC records,reported,undocumented,1931-06-28,H.B. Leech,UBC,SEM-UBC COL-01204,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,220785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harpalini  tribe,Bonelli,a tribe of a diverse group of  ground beetles,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,,Carabidae,Harpalinae,Exotic, ,new 2019,documented,,,,,,2019-04-05,benkeen,https://www.inaturalist.org/observations/22065009,,334251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilybiosoma perplexum ,(Sharp),none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,,Dytiscidae,Colymbetinae,Exotic,genus not in CDC records; no longer widely recognized,reported,undocumented,1955-06-23,R. Stace-Smith,UBC,SEM-UBC COL-23104,,,,, ,456193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebia viridis,Say,Flower Lebia Beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Caraboidea,Carabidae,Lebiinae,Native,S4S5 (2017),new 2021,documented,,,,,,7/31/2021,benkeen,https://www.inaturalist.org/observations/89329405,,135276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omus dejeanii,Reiche,Greater Night-stalking Tiger Beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Caraboidea,Carabidae,Cicindelinae,Native,S4S5 (2017),new 2019,documented,,,,,,4/27/2019,benkeen,https://www.inaturalist.org/observations/23551538,,226395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Promecognathus crassus,LeConte,a species of ground beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Caraboidea,Carabidae,Promecognathinae,Native,S3S5 (2017); 33 spp Promecognathus in CDC records,new 2021,documented,,,,,,4/19/2021,cgbc,https://www.inaturalist.org/observations/74589477,,228778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pterostichus algidus,LeConte,a ground beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,,Carabidae,Pterostichinae,Native,S3S5 (2017) ,confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",2018-11-11,benkeen,https://www.inaturalist.org/observations/18337545,,229317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pterostichus herculaneus,Mannerheim,none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,,Carabidae,Pterostichinae,Native,S5 (2017)  ,new 2019,documented,,,,,,2019-04-13,benkeen,https://www.inaturalist.org/observations/22436175,iNat: needs i.d.,229343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pterostichus lama,Ménétries,a species of woodland ground beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Caraboidea,Carabidae,Pterostichinae,Native,S3S5 (2017),new 2019,documented,,,,,,2019-05-28,elsemikkelsen,https://www.inaturalist.org/observations/34048600,,124154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pterostichus melanarius,Illiger,rain-beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,,Carabidae,Pterostichinae,Exotic,SNA (2017) ,new 2019,documented,,,,,,2019-06-29,benkeen,https://www.inaturalist.org/observations/27903429,,131931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scaphinotus angulatus,T. Harris,a ground beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,,Carabidae,Carabinae,Native,S3S5 (2017),new 2019,documented,,,,,,2019-05-14,benkeen,https://www.inaturalist.org/observations/25143289,,143918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scaphinotus angusticollis,Mannerheim,a ground beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,,Carabidae,Carabinae,Native,S5 (2017) ,confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",2017-09-30,rainwalker,https://www.inaturalist.org/observations/8187208,,63575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scaphinotus johnsoni,Van Dyke,a ground beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,,Carabidae,Carabinae,Native,S1S3 (2017),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,230460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trachypachus holmbergi,Mannerheim,a false ground beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,,Trachypachidae,,Native,S5 (2017),recorded,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,232773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trachypachus inermis,Motschulsky,a false ground beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,,Trachypachidae,,Native,S5 (2017),recorded,undocumented,1961-05-22,G.J. Spencer,UBC,SEM-UBC COL-17763,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,458684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trechus ovipennis,Motschulsky,none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,,Carabidae,Trechinae,Unrankable,SU (2017) ,recorded,undocumented,1962-02-20,G.J. Spencer,UBC,SEM-UBC COL-20993,,,,, ,232820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fleutiauxellus manki,(Fall),none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Elateroidea,,,,Unrankable,SU (2017) ,reported,undocumented,1945-08-08,R. Stace-Smith,UBC,SEM-UBC COL-30167,,,,, ,456320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adalia bipunctata,Linnaeus,two-spotted lady beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Coccinelloidea,Coccinellidae,Coccinellinae,Native,S5 (2017) ; only Adalia sp in CDC records,reported,undocumented,1963-04-07,G.J. Spencer,UBC,SEM-UBC COL-10324,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,52506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agoliinus guttatus,Eschscholtz,none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Scarabaeoidea,Scarabaeidae, Aphodiinae,not yet assessed,SNR ; 13 spp Agoliinus in CDC records,reported,undocumented,1955-08-10,R. Stace-Smith,UBC,SEM-UBC COL-27518,,,,,,457254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriotes criddlei,Van Dyke,a beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Elateridae,Elaterinae,Unrankable,SU (2017),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,212844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriotes lineatus,L.,Lined Click Beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Elateridae,Elaterinae,Exotic,SNA (2017),new 2017,documented,,,,,,5/15/2021,benkeen,https://www.inaturalist.org/observations/78873970,,456217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airora aequalis,Kohout,a bark-gnawing beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,,Trogossitidae ,,Unrankable,SU (2017),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,172824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altica ambiens,Le Conte,alder flea beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Chrysomeloidea,Chrysomelidae,Galerucinae,Native,S5 (2017) 12 spp Altica in CDC records,new 2020,documented,,,,,,2020-04-27,vicmc,https://www.inaturalist.org/observations/44049381,,213085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ampedus rhodopus,Le Conte,a sp of click beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Elateridae,Elaterinae,Unrankable,SU (2017),new 2019,documented,,,,,,5/11/2019,benkeen,https://www.inaturalist.org/observations/24958062,,456234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthrenus verbasci,L.,varied carpet beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Bostrichoidea,Dermestidae,Megatominae,Exotic,SNA (2017),new 2020,documented,,,,,,2021-05-11,gwenlh,https://www.inaturalist.org/observations/78591221,,120113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphodius congregatus,Mannerheim,none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota, ,Coleoptera,Polyphaga,Scarabaeoidea,Scarabaeidae, Aphodiinae,Exotic,genus is in CDC records,reported,undocumented,1981-08-01,R.J. Cannings,UBC,SEM-UBC COL-27510,,,,,UBC: Agoliinus congregatus ,475710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphorista laeta,Le Conte,a sp of fungus beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Coccinelloidea,Endomychidae,Lycoperdininae,Native,S4S5 (2017) ; only sp of Aphorista in the CDC records,new 2021,documented,,,,,,4/16/2021,benkeen,https://www.inaturalist.org/observations/74208924,,367954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asemum nitidum,Le Conte,a sp of beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Cerambycoidea,Cerambycidae,Spondylidinae,Unrankable,SU (2017),new 2020,documented,,,,,,8/5/2020,benkeen,https://www.inaturalist.org/observations/55572238,,367957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athous vittiger,Le Conte,a sp of beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Elateridae,Dendrometrinae,Native,S5 (2017),new 2021,documented,,,,,,7/5/2021,benkeen,https://www.inaturalist.org/observations/85826014,,456253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atimia confusa,Say,small cedar-bark beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Cerambycoidea,Cerambycidae,Spondylidinae,Native,S4S5 (2017),confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",7/30/2019,benkeen,https://www.inaturalist.org/observations/29872910,,214583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apteroloma caraboides,(Fall),a species of primitive carrion beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Staphylinoidea,Agyrtidae,Pterolomatinae,Native,S3S5 (2017) ,reported,undocumented,1984-05-27,B. Harrison,UBC,SEM-UBC COL-28991,,,,,,455075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Araeopidius monachus,LeConte,a toe-winged beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Byrrhoidea,Ptilodactylidae,,Native,S4S5 (2017) ; only sp. Of Araeopidius in CDC records ,reported,undocumented,1963-06-09,G.G.E. Scudder,,SEM-UBC COL-18098,,,,,"UBC: West Vancouver, Capilano Canyon",361543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Standard coordinates added,,UBC,PIN,,,,2015-05-01 11:00:00,2020-01-14 12:34:10,,,,,,,,0,,,,,,,,,,,9.vi.1963,
